video_question,question_text,question_image,question_image_source,question_source_name,answer_text,answer_image,answer_image_source,answer_source_name,domain,topic,subtopic,audio_confirmed,active_card,note_id
FALSE,Where are hemangioblastomas typically located in the posterior fossa?,,,,"Hemangioblastomas are most often seen in the cerebellum, up to 80% of the time.
Although rare, they can occasionally be seen in the brainstem.
",,,,Neuroradiology,Brain,brain neoplasms,TRUE,TRUE,10
FALSE,"Okay?-get ready!
This next one will be a long and detailed answer.
What are the typical MR features of a hemangioblastoma?
What differentials must be considered?",,,,"Hemangioblastomas typically appear either as a cyst with a mural nodule or as a completely solid enhancing mass.
They often have vascular flow voids within or at the periphery of the lesion.
Hemangioblastomas do not demonstrate diffusion restriction.
The imaging features of a cyst with a mural nodule is the typical appearance, and occur in about 60% of cases.
A solid-enhancing mass is the other variant and occurs around 40% of the time.
The differentials of these masses depend on the overall appearance.
If the posterior fossa mass is cystic with a mural nodule, then a pilocytic astrocytoma can be considered.
However, pilocytic astrocytomas are more commonly seen in children and young adults.
The nodule enhancement is less intense and more heterogeneous in pilocytic astrocytomas, compared to hemangioblastomas.
Metastatic lesions can also be considered if there is a cyst and a mural nodule in the posterior fossa of an adult.
The metastatic lesions that typically have this appearance are melanoma and renal cell carcinoma.
The apparent cyst is often due to necrosis, rather than a true cyst.
An abscess could also be cystic in the posterior fossa.
However, an abscess will show diffusion restriction due to the debris within it.
This is a key feature, because hemangioblastomas do not restrict diffusion.
Gangliogliomas can sometimes appear cystic with a mural nodule. However, these are typically supratentorial.
These are all the differentials of a posterior fossa cyst with a mural nodule.
Now we will discuss the differential diagnoses of a solid enhancing posterior fossa mass, including: hemangioblastomas, meningiomas, metastatic lesions, and paragangliomas.
A meningioma is an extra-axial enhancing mass with a characteristic dural tail and is often found in the region of the cerebellopontine angle.
Metastatic lesions are the most common brain lesions in the posterior fossa of an adult.
In cases where there's a single solid enhancing mass, it may be challenging to differentiate between a hemangioblastoma and a solitary hypervascular metastatic lesion.
The typical hypervascular metastatic lesions are renal cell carcinomas, thyroid cancers, and melanomas.
Paragangliomas can also appear as a solid enhancing mass in the posterior fossa, but are typically in the region of the jugular foramen, and will have a heterogeneous salt-and-pepper appearance.",,,,Neuroradiology,Brain,brain neoplasms,TRUE,TRUE,11
FALSE,"What age range do intracranial hemangioblastomas, most commonly occur?
",,,,Brain hemangioblastomas are typically seen in patients between 30 and 60 years of age.,,,,Neuroradiology,Brain,brain neoplasms,TRUE,TRUE,12
FALSE,"What congenital disease is associated with brain and spinal cord hemangioblastomas?
",,,,Von Hippel-Lindau disease,,,,Neuroradiology,Brain,brain neoplasms,TRUE,TRUE,13
FALSE,"If you see a brain hemangioblastoma, not, in the posterior fossa, what underlying disease, might the patient have?
",,,,Von Hippel-Lindau disease,,,,Neuroradiology,Brain,brain neoplasms,TRUE,TRUE,14
FALSE,"Patients with Von Hippel-Lindau disease more commonly develop what-kind-of brain and spinal cord tumors?

",,,,"Patients with Von Hippel-Lindau disease, more commonly develop Hemangioblastomas, and they can sometimes appear supratentorial, and even occur around the optic nerves.
",,,,Neuroradiology,Brain,brain neoplasms,TRUE,TRUE,15
TRUE,"
This is an MR brain of a 66 year old male with headaches and ataxia?
What is this lesion?","0007a.png, 0007b.png, 0007c.png, 0007d.png",https://radiopaedia.org/cases/cerebellar-abscess,Frank Gaillard,"There is a mass in the left cerebellum, with T2 hyperintensity and rim enhancement, which also demonstrates abnormal diffusion restriction, confirmed on ADC (not shown in these images).
This is concerning for a posterior fossa abscess.
Also, notice the dilated occipital horns on the coronal view, suggesting obstructive hydrocephalus. ",,,,Neuroradiology,Brain,brain neoplasms,TRUE,TRUE,16
FALSE,"What brain lesions, are associated with tuberous sclerosis?",,,,"Subcortical tubers, subependymal nodules, and subependymal giant cell astrocytomas.",,,,Neuroradiology,Brain,brain neoplasms,TRUE,TRUE,17
FALSE,"What two brain lesions, are associated with neurofibromatosis type 1? ",,,,"Neurofibromas, and optic nerve gliomas.",,,,Neuroradiology,Brain,brain neoplasms,TRUE,TRUE,18
FALSE,"What three brain lesions, are associated with neurofibromatosis type 2? ",,,,"Meningiomas, ependymomas, and schwannomas.",,,,Neuroradiology,Brain,brain neoplasms,TRUE,TRUE,19
FALSE,"Is gadolinium-typically chelated?
",,,,"Yes, gadolinium is chelated. Free, non-chelated gadolinium, is very toxic.
",,,,Noninterpretive Skills,Contrast,contrast,TRUE,TRUE,20
FALSE,"Is typical intravenous iodinated contrast, ionic, or non-ionic? What are some examples, of ionic iodinated contrast used today? 


",,,,"Ionic iodinated contrast is old, and rarely used today.
Ionic contrast is composed of iodine ions, and was associated with increased hypersensitivity reactions, higher nephro-toxicity, more irritation to the veins, and unable to be used intrathecally.
Non-ionic iodinated contrast on-the-other-hand, is typically used today.
It is covalently bound, and does not dissociate, making it much more stable, and less likely to cause hypersensitivity reactions.
The older ionic iodinated contrast, is much more radiodense compared to the newer, non-ionic iodinated contrast we use today.
Ionic iodinated contrast can still be found today as Gastrografin and Conray, and is almost exclusively used for oral or rectal studies.

",,,,Noninterpretive Skills,Contrast,contrast,TRUE,TRUE,21
FALSE,"What is the difference between high-osmolar, low-osmolar, and iso-osmolar contrast medias?
",,,,"High-osmolality contrast media agents includes older ionic iodinated contrast agents, such as Gastrografin, Conray, and Isopaque.
Most common IV contrast agents, are low-osmolality contrast media agents, such as Omnipaque.
The osmolality, of low-osmolality contrast media agents is, 600, to 900 milliosmoles per kilogram.
This is higher than human blood osmolality, but much lower than the high osmolality contrast media agents, where the osmolality is between, 1500, and 2000 milliosmoles per kilogram.
Iso-osmolar contrast media agents are also non-ionic, and the same iso-osmolarity as blood plasma around, 290 milliosmoles per kilogram.
An example of an iso-osmolar contrast agent is, visipaque.",,,,Noninterpretive Skills,Contrast,contrast,TRUE,TRUE,22
FALSE,"In stroke, what does the term, benign oligemia mean?",,,,"
Benign oligemia, is a term used to describe brain tissue ischemia effects that will likely recover regardless of treatment.
",,,,Neuroradiology,Brain,stroke,TRUE,TRUE,23
FALSE,"What is, the ischemic penumbra?",,,,"The penumbra, is the area with abnormal perfusion characteristics, but no restricted diffusion, and is at risk for infarct, but not infarcted at the time of imaging, and represents salvageable brain tissue.
",,,,Neuroradiology,Brain,stroke,TRUE,TRUE,24
FALSE,"What MRI sequence, can detect increased deoxyhemoglobin, in a vessel lumen? 
",,,,"Susceptibility-weighted imaging sequences, can detect increased deoxyhemoglobin in a vessel lumen.",,,,Neuroradiology,Brain,stroke,TRUE,TRUE,25
FALSE,"What type of acute hemorrhage, is not detected on SWI? What type of hemoglobin, is not detected with susceptibility-weighted imaging?
",,,,"In cases of hyper-acute hemorrhage, the hemoglobin is still oxygenated as oxy-hemoglobin, which has no unpaired electrons, and is diamagnetic, and therefore does not create enough local magnetic field distortion to be detected with susceptibility-weighted imaging.
SWI detects paramagnetic distortions like deoxyhemoglobin, met-hemoglobin, hemosiderin, ferritin, and calcium. Hemosiderin and ferritin have the strongest susceptibility distortion on SWI.
Calcium is diamagnetic and causes less susceptibility distortions compared to iron.
",,,,Neuroradiology,Brain,stroke,TRUE,TRUE,26
FALSE,"In stroke perfusion imaging, what does TTP, time to peak, indicate? 
",,,,"TTP, is the time it takes for the contrast to reach its maximum enhancement, at a particular voxel.
An elevated TTP, indicates delayed arrival of blood, this is typically due to flow limiting stenosis, obstruction, or collateral circulation. 

",,,,Neuroradiology,Brain,stroke,TRUE,TRUE,27
FALSE,"If a stroke perfusion CT, demonstrates a focal area of elevated TTP, is that finding specific to only ischemic strokes?
",,,,"TTP, is sensitive in detecting ischemic strokes, but many other things can cause elevated TTP as well.
So, TTP is, not specific for ischemic strokes.
",,,,Neuroradiology,Brain,stroke,TRUE,TRUE,28
FALSE,"In stroke perfusion imaging, what does CBV, cerebral blood volume, indicate?
",,,,"CBV indicates the total volume of blood within a given brain tissue region, defined as milliliters of blood, per 100 grams of brain.
This value gives an idea of how much residual blood is within the microvasculature. If there is normal, or elevated CBV, in a region of elevated TTP, this indicates that the collateral blood volume is maintained, which is called the ischemic penumbra.
If the CBV is low in a region of elevated TTP, this indicates there is not enough collateral flow to perfuse that region of brain, and there is a core infarct.
",,,,Neuroradiology,Brain,stroke,TRUE,TRUE,29
FALSE,"In stroke perfusion imaging, what does CBF, cerebral blood flow, indicate? 
",,,,"CBF, is the rate at which blood flows through the brain tissue measured as milliliters per 100 grams of brain per minute.
This value indicates the actual perfusion efficiency.
Regions of low CBF, and normal CBV, indicates an ischemic penumbra.
While a region of low CBF, and low CBV, indicates a core infarct.
",,,,Neuroradiology,Brain,stroke,TRUE,TRUE,30
FALSE,"In stroke perfusion imaging, what does MTT, mean transit time, indicate?
",,,,"MTT, indicates how long blood takes to pass through a given region of brain.
It is calculated by, CBV, divided by CBF.
Regions of elevated MTT can indicate areas of delayed blood flow, and possible salvageable brain tissue in the ischemic penumbra.
MTT will be normal, or shorter in areas of a core infarct.
",,,,Neuroradiology,Brain,stroke,TRUE,TRUE,31
FALSE,"In stroke perfusion imaging, if the mean transit time is prolonged, and the cerebral brain volume is normal, what does this indicate about the underlying brain tissue?
",,,,"Prolonged MTT, and normal CBV, indicates ischemic penumbra, which may be salvageable. 

",,,,Neuroradiology,Brain,stroke,TRUE,TRUE,32
FALSE,"In stroke perfusion imaging, if the mean transit time is prolonged, and the cerebral brain volume is low, what does this indicate about the underlying brain tissue?
",,,,"Prolonged MTT, and a corresponding low CBV, indicates a core infarct.
",,,,Neuroradiology,Brain,stroke,TRUE,TRUE,33
FALSE,"In stroke perfusion imaging, if the mean transit time is relatively normal, but the CBF is low, what does this indicate about the underlying brain tissue?
",,,,"Relatively normal MTT, and low CBF, can indicate chronic disease, or water-shed areas with lower perfusion pressures.

",,,,Neuroradiology,Brain,stroke,TRUE,TRUE,34
FALSE,"A child with choanal atresia, may have other associated congenital anomalies.
What is the name for this constellation of abnormalities?
",,,,"Charge Syndrome.
Which consist of: Coloboma, Heart disease, Choanal Atresia, retardation, genital abnormalities, and ear anomalies.
",,,,Neuroradiology,Peds,peds,TRUE,TRUE,35
FALSE,"What vomer width measurement, on CT imaging in a child, is considered suggestive of choanal atresia?
",,,,"6 millimeters or less in width.
",,,,Neuroradiology,Peds,peds,TRUE,TRUE,36
FALSE,What are the common presenting symptoms of an infant with subependymal heterotopia?,,,,"Seizures, and developmental delay.",,,,Neuroradiology,Brain,congenital brain malformation,TRUE,TRUE,37
FALSE,"How do subependymal tubers, differ from subependymal heterotopia?",,,,"Subependymal tubers are glial hamartomas, seen in tuberous sclerosis, typically lining the ventricles and often with calcifications.
Subependymal heterotopia are displaced normal neurons, that form ectopic gray-matter nodules along the ventricular walls, representing a neuronal-migration disorder, rather than a hamartoma.
",,,,Neuroradiology,Brain,congenital brain malformation,TRUE,TRUE,38
FALSE,"Which of these brain lesions typically calcify?
Subependymal tubers, or subependymal heterotopia?


",,,,"Subependymal tubers, almost always calcify (up to 98%), while subependymal heterotopia, are not associated with calcifications.
",,,,Neuroradiology,Brain,congenital brain malformation,TRUE,TRUE,39
FALSE,"Why are cases of subependymal heterotopia more common in females?
",,,,"Subependymal heterotopia, is often caused by a mutation in the FLNA gene on the X chromosome, which is critical for actin cytoskeleton stability and neuronal migration.
Because the disorder is X-linked, males who inherit the mutation typically do not have a normal, second X chromosome to compensate, leading to non-viability in-utero.
As a result, surviving cases overwhelmingly occur in females (over 90% of cases).
",,,,Neuroradiology,Brain,congenital brain malformation,TRUE,TRUE,40
FALSE,"What other anatomical abnormality is commonly associated with subependymal heterotopia?
",,,,"Polymicrogyria, is the most common associated abnormality with subependymal heterotopia.
",,,,Neuroradiology,Brain,congenital brain malformation,TRUE,TRUE,41
FALSE,"How are peri-ventricular nodular heterotopia, PNH, different from subependymal heterotopia?

",,,,"They refer to the same entity.
Peri-ventricular nodular heterotopia, PNH, is the formal term for subependymal heterotopia, describing ectopic gray-matter nodules lining the ventricular walls due to failed neuronal migration.
",,,,Neuroradiology,Brain,congenital brain malformation,TRUE,TRUE,42
FALSE,"In craniopharyngiomas, what are the typical bi-modal distribution age peaks?



",,,,"Craniopharyngiomas, most commonly occur in children from 5 to 14 years, and in adults from 50 to 75 years of age.
",,,,Neuroradiology,Brain,brain neoplasms,TRUE,TRUE,43
FALSE,"What is the peak age range, for pituitary macroadenomas?
",,,,"Pituitary macroadenomas most often occur in adults, with the peak incidence between 30 and 60 years of age.
Macroadenomas are uncommon in children.
",,,,Neuroradiology,Brain,brain neoplasms,TRUE,TRUE,44
FALSE,"What MRI characteristics help differentiate craniopharyngiomas from pituitary macroadenomas?

",,,,"Craniopharyngiomas are suprasellar in origin, and are typically mixed cystic and solid lesions, with heterogeneous enhancement.
They contain calcifications in up to 90% of cases.
Pituitary macroadenomas on-the-other-hand, arise from the sella and extend superiorly as they enlarge.
They are generally solid and demonstrate homogeneous enhancement.
Macroadenomas rarely contain calcifications.",,,,Neuroradiology,Brain,brain neoplasms,TRUE,TRUE,45
FALSE,"What are the MRI features, of primary CNS lymphoma?
Describe the typical location, T2 signal, enhancement, and diffusion restriction.",,,,"Primary CNS lymphoma typically occurs in deep periventricular regions of the brain, and is classically iso-intense or mildly hypo-intense on T1 and T2-weighted imaging with surrounding vasogenic edema.
A hallmark feature is its avid, homogenous enhancement, accompanied by marked diffusion restriction.
Primary CNS lymphoma, typically does not contain internal hemorrhage or calcifications.


","0122a.png, 0122b.png, 0122c.png, 0122d.png",https://radiopaedia.org/cases/primary-cns-lymphoma-57,Keshaw Kumar,Neuroradiology,Brain,brain neoplasms,TRUE,TRUE,46
FALSE,"How do steroids affect the imaging and diagnosis, of primary CNS lymphoma?
",,,,"Steroids can cause primary CNS lymphoma to shrink rapidly or temporarily disappear, creating a major diagnostic challenge.
Because the lesion regresses before biopsy, tissue sampling may become non-diagnostic; delaying or obscuring the correct diagnosis.
",,,,Neuroradiology,Brain,brain neoplasms,TRUE,TRUE,47
FALSE,"What part of the brain should be investigated, when a patient presents with an upward gaze palsy?
What is this syndrome called?
",,,,"This is called Parinaud syndrome, where an upward gaze palsy localizes to the dorsal midbrain, particularly the tectal region and superior colliculus.

",,,,Neuroradiology,Brain,brain neoplasms,TRUE,TRUE,48
FALSE,"When talking about the venous system of the brain.
What is a Falcine sinus?",,,,"The Falcine sinus, is a fetal remnant structure that is persistent in about 2% of adults.
The falcine sinus drains into the superior sagittal sinus, and usually arises from the vein of Galen or-straight sinus.
",0123.png,,,Neuroradiology,Brain,vascular abnormalities,TRUE,TRUE,49
FALSE,"If a patient has a vein of Galen aneurysm, what venous anomaly is often present?
",,,,A persistent falcine sinus is often present.,0123.png,,,Neuroradiology,Brain,vascular abnormalities,TRUE,TRUE,50
FALSE,"What is a common cardiac complication, that occurs in cases of vein of Galen malformation, and some brain AVMs?",,,,"Brain AVMs and especially vein of Galen malformations often have cardiac complications with high-output congestive heart failure due to the left-to-right shunt.

",,,,Neuroradiology,Brain,vascular abnormalities,TRUE,TRUE,51
FALSE,"Are seizures a common presentation in brain AVMs?
",,,,"Not usually. Unless the AVM is located along the cortex.
The most common presentation of a brain AVM is intracranial hemorrhage. ",,,,Neuroradiology,Brain,vascular abnormalities,TRUE,TRUE,52
FALSE,"What is the difference between, brain AVMs, and AVFs?

",,,,"Prolonged MTT, and normal CBV, indicates ischemic penumbra, which maybe salvageable. 

",,,,Neuroradiology,Brain,vascular abnormalities,TRUE,TRUE,53
FALSE,"
Are dural AVFs, congenital, or acquired?
What are the main causes?
",,,,"Dural AVFs are acquired. And most commonly develop secondarily to dural sinus thrombosis, trauma, prior surgery, or infection.
",,,,Neuroradiology,Brain,vascular abnormalities,TRUE,TRUE,54
FALSE,How is a Vein of Galen malformation treated?,,,,"A Vein of Galen malformation is treated by neuro-interventionalist, using angiography or venography, with embolization of the shunt, utilizing glue, coils, or some other embolization material. ",,,,Neuroradiology,Brain,vascular abnormalities,TRUE,TRUE,55
FALSE,"
Can you name three cystic odontogenic lesions?

And how about two common benign odontogenic tumors?",,,,"Three common cystic odontogenic lesions are: radicular cysts (also called periapical cysts), dentigerous cysts, and odontogenic keratocysts.
Two common benign odontogenic tumors are odontomas, and ameloblastomas.",,,,Neuroradiology,Head & Neck,odontogenic lesions,TRUE,TRUE,56
TRUE,What is this odontogenic lesion?,0001.png,https://radiopaedia.org/cases/keratocystic-tumour-of-mandible,Oliver Hennessy,"There is a mildly expansile unilocular lytic-lesion in the right mandibular angle with imaging characteristics of an odontogenic keratocyst, or possibly an ameloblastoma.",,,,Neuroradiology,Head & Neck,odontogenic lesions,TRUE,TRUE,57
FALSE,"Are odontogenic keratocysts, benign, or malignant?
Where do they most commonly occur?",,,,"Odontogenic keratocysts (previously called, keratocystic odontogenic tumors) are benign bone lesions, which have been recently classified as cystic lesions.
They overwhelmingly occur in the posterior mandible, they can also sometimes occur in the maxilla.
",,,,Neuroradiology,Head & Neck,odontogenic lesions,TRUE,TRUE,58
FALSE,What is the typical age range of odontogenic keratocysts? And what are common presenting symptoms?,,,,"Odontogenic keratocysts typically occur in patients between the ages of 20 and 40 years old.
These lesions are commonly discovered incidentally.
However, if they are symptomatic, there will often be jaw pain, and possible swelling.",,,,Neuroradiology,Head & Neck,odontogenic lesions,TRUE,TRUE,59
FALSE,"Should odontogenic keratocyst be surgically removed?
",,,,"Yes. Odontogenic keratocysts require surgical treatment because of their locally aggressive behavior.
These lesions can have a high rate of recurrence after removal.",,,,Neuroradiology,Head & Neck,odontogenic lesions,TRUE,TRUE,60
FALSE,"Should an odontogenic keratocyst (OKC), be followed with imaging after surgery?

",,,,"Yes, Long-term follow-up is mandatory because recurrence rates are high.
Imaging with panoramic dental x-ray or a CT is typically obtained at 6 to 12 months after surgery, and then annually for several years.
",,,,Neuroradiology,Head & Neck,odontogenic lesions,TRUE,TRUE,61
FALSE,What congenital syndrome is classically associated with odontogenic keratocysts?,,,,"Gorlin syndrome (also called Nevoid Basal Cell Carcinoma Syndrome) is the congenital syndrome classically associated with odontogenic keratocysts.
",,,,Neuroradiology,Head & Neck,odontogenic lesions,TRUE,TRUE,62
FALSE,"Can you think of five lesions or imaging-features that are associated with Gorlin Syndrome?
",,,,"Multiple odontogenic keratocysts of the jaw, numerous basal cell carcinomas, medulloblastomas, falx-cerebri calcifications, and skeletal anomalies (like bifid ribs, and scoliosis).",,,,Neuroradiology,Head & Neck,odontogenic lesions,TRUE,TRUE,63
TRUE,What is this lesion?,0002.png,https://radiopaedia.org/cases/dentigerous-cyst,Frank Gaillard,"Dentigerous cyst

The CT axial images show a well circumscribed cystic space around the ""crown"" of an unerupted third molar, extending to the cementoenamel junction.
This is the characteristic appearance of a dentigerous cyst.",,,,Neuroradiology,Head & Neck,odontogenic lesions,TRUE,TRUE,64
TRUE,How to potentially differentiate between a periapical granuloma and a radicular cyst?,"0010a.png, 0010b.png",https://radiopaedia.org/cases/periapical-cyst-1,Bruno Di Muzio,"Both periapical granulomas and radicular cysts appear as periapical lucencies. In general, a periapical granuloma is less corticated and smaller in size (less than 1 centimeter), compared to radicular cysts, which are well corticated and often larger in size (greater than 1 centimeter). Periapical granulomas can be symptomatic and painful, whereas radicular cysts are often asymptomatic.",,,,Neuroradiology,Head & Neck,odontogenic lesions,TRUE,TRUE,65
FALSE,What is a dentigerous cyst?,,,,"A dentigerous cyst is a cystic lesion that develops around the crown of an unerupted or impacted tooth, most commonly a mandibular third molar.
In these cases, the tooth typically has a fully formed crown but incompletely developed roots.",,,,Neuroradiology,Head & Neck,odontogenic lesions,TRUE,TRUE,66
FALSE,"What imaging features can help differentiate an odontogenic keratocyst, from a dentigerous cyst.
",,,,"A dentigerous cyst always envelops the crown of an impacted tooth, and attachment is at the cementoenamel junction.
Dentigerous cyst have more outward buccolingual expansion.
Odontogenic keratocyst may be near an impacted tooth, but do not arise from the cementoenamel junction, and expansion is usually minimal.
Growth is typically antero-posterior, or parallel, along the axis of the bone, rather than outward.",,,,Neuroradiology,Head & Neck,odontogenic lesions,TRUE,TRUE,67
TRUE,What is this lesion?,"0012a.png, 0012b.png",Neuroradiology Imaging: Case Review Series (2016) (ISBN: 9780323417266),Salvatore V. Labruzzo; Laurie A. Loevner; Efrat Saraf-Lavi; David M. Yousem,"CT axial imaging with a soft tissue and bone kernel demonstrates a well-circumscribed lesion within the right mandible, oriented in the long axis, and not associated with a carious tooth. This is likely an odontogenic keratocyst (formerly known as a keratocystic odontogenic tumor). A unicameral bone cyst could also be considered.",,,,Neuroradiology,Head & Neck,odontogenic lesions,TRUE,TRUE,68
TRUE,What is this lesion?,0003.png,https://radiopaedia.org/cases/ameloblastoma01,Frank Gaillard,"This multi-planar reconstruction CT, demonstrates an expansile, well-circumscribed lesion, with internal septations, suggestive of an ""ameloblastoma"".
",,,,Neuroradiology,Head & Neck,odontogenic lesions,TRUE,TRUE,69
FALSE,What is an ameloblastoma?,,,,"Ameloblastomas are locally-aggressive benign tumors that often arise from the mandible.
",0003.png,https://radiopaedia.org/cases/ameloblastoma01,Frank Gaillard,Neuroradiology,Head & Neck,odontogenic lesions,TRUE,TRUE,70
FALSE,"Ameloblastomas often appear cystic and multi-locular on imaging.
Why then are they not considered a cystic odontogenic lesion?",,,,"Ameloblastomas fall under the category of benign odontogenic tumors.
It is a solid neoplasm that undergoes cystic degeneration, producing its characteristic multi-loculated cyst-like appearance. 
Often mimicking true cysts like odontogenic keratocysts, or dentigerous cysts.
",0003.png,https://radiopaedia.org/cases/ameloblastoma01,Frank Gaillard,Neuroradiology,Head & Neck,odontogenic lesions,TRUE,TRUE,71
FALSE,"What imaging features can help differentiate between an odontogenic keratocyst and an ameloblastoma?
",,,,"Ameloblastomas can appear more loculated, with a “soap-bubble” appearance, and will have much more cortical expansion and thinning compared to OKCs.",0003.png,https://radiopaedia.org/cases/ameloblastoma01,Frank Gaillard,Neuroradiology,Head & Neck,odontogenic lesions,TRUE,TRUE,72
FALSE,"What imaging features can help differentiate an odontogenic keratocyst, from a simple unicameral bone cyst in the mandible?
",,,,"Both lesions can have endosteal scalloping. However, a simple bone cyst can have scalloping that occurs between the roots and does not displace the teeth or cause expansion.
Compared to odontogenic keratocysts, which also have scalloping but does not occur between the roots, and can be expansile displacing teeth.",,,,Neuroradiology,Head & Neck,odontogenic lesions,TRUE,TRUE,73
TRUE,What is this lesion?,"0008a.png, 0008b.png, 0008c.png, 0008d.png",https://radiopaedia.org/cases/nasopalatine-duct-cyst-5,Katia Kaplan-List,MR images show a cystic lesion along the anterior hard palate of the maxilla with rim enhancement consistent with a nasopalatine duct cyst.,,,,Neuroradiology,Head & Neck,odontogenic lesions,TRUE,TRUE,74
TRUE,What is this lesion?,"0004a.png, 0004b.png, 0004c.png
",https://radiopaedia.org/cases/stafne-cyst-4,Neil Lall,"This is a stafne bone defect.

CT axial and coronal views of the mandible show well-circumscribed remodeling of the medial cortex of the mandible with a small portion of the submandibular gland extending into the defect.
This is a benign finding called a, Stafne bone defect.",,,,Neuroradiology,Head & Neck,odontogenic lesions,TRUE,TRUE,75
FALSE,What is a Stafne bone defect?,,,,"A Stafne bone defect is a cortical defect in the posterior mandible below the mandibular canal, representing a depression in the medial aspect of the mandible filled by part of the submandibular gland, or adjacent fat.
It occurs due to remodeling, caused by adjacent soft tissues, most commonly the submandibular gland.","0004a.png, 0004b.png, 0004c.png
",https://radiopaedia.org/cases/stafne-cyst-4,Neil Lall,Neuroradiology,Head & Neck,odontogenic lesions,TRUE,TRUE,76
TRUE,What is this lesion?,"0005a.png, 0005b.png, 0005c.png",https://radiopaedia.org/cases/odontoma-compound-1,Ian Bickle,"CT axial views show a well circumscribed lesion in the right maxilla, containing heterogeneous densities, and several discernable tooth like elements.
The adjacent teeth roots are being splayed.
This is an example of an odontoma, and because there are visible tooth elements, such as enamel and cementum within the lesion, this is a ""compound"" odontoma.
",,,,Neuroradiology,Head & Neck,odontogenic lesions,TRUE,TRUE,77
FALSE,What is an odontoma?,,,,"An odontoma, is essentially a hamartoma of tooth-forming tissues.
Odontomas specifically form tooth tissue; not bone.",,,,Neuroradiology,Head & Neck,odontogenic lesions,TRUE,TRUE,78
